title,budget,revenue,title,vote_average,Revenue_to_Budget,Action_Adventure,Fantasy_SciFi,Family_Animation,Drama,Comedy,Thriller_Crime,Film Awards,Actor1,Actor2,Actor3,Actor4,Actor5,Actor_Sum,Weighted_Actor_Sum,Acting Awards
Avatar,270784718.95,3185393850.35,Avatar,7.2,11.763565768045346,1,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,19.0,1.0
Pirates of the Caribbean: At World's End,354659100.55,1136091318.75,Pirates of the Caribbean: At World's End,6.9,3.203333333299968,1,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0
Spider-Man 3,305006826.47,1053185765.26,Spider-Man 3,5.9,3.4529907984324724,1,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0
Tangled,292270048.99,665245903.59,Tangled,7.4,2.276134369186633,0,0,1,0,0,0,0.0,0.0,1,1,0,0,2,14,0.0
Harry Potter and the Half-Blood Prince,285637889.19,1067096534.49,Harry Potter and the Half-Blood Prince,7.4,3.7358367880256638,1,1,1,0,0,0,0.0,0.0,0,1,0,0,1,6,0.0
Superman Returns,328298726.8,475523916.33,Superman Returns,5.4,1.4484488592600901,1,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,2.0
Quantum of Solace,227697851.47,667257996.53,Quantum of Solace,6.1,2.930453635035347,1,0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,2.0,13.0,3.0
Pirates of the Caribbean: Dead Man's Chest,243184242.07,1295758368.45,Pirates of the Caribbean: Dead Man's Chest,7.0,5.328299060088849,1,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0
The Chronicles of Narnia: Prince Caspian,256160082.91,477768625.54,The Chronicles of Narnia: Prince Caspian,6.3,1.8651173910958663,1,1,1,0,0,0,0.0,0.0,0,1,0,1,2,11,0.0
Robin Hood,224823114.6,349228467.98,Robin Hood,6.2,1.5533477000411595,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,6.0
The Golden Compass,212795460.33,440054940.19,The Golden Compass,5.8,2.0679714666260707,1,1,0,0,0,0,0.0,1.0,1,0,0,1,3,23,0.0
King Kong,259815252.83,690330381.91,King Kong,6.6,2.6570048308968635,1,0,0,1,0,0,0.0,1.0,0,0,0,0,1,10,0.0
