Title,Budget,Revenue,Revenue/Budget,Vote_Average,FilmAwards,Action/Adventure,Fantasy/SciFi,Animation/Family,Drama,Comedy,Thriller/Crime,Actor1,Actor2,Actor3,Actor4,Actor5,ActorSum,WeightedSum,ActingAwards
Avatar,>= 120mil,>= 200mil,>6,7.2,>=3,1,1,1,0,0,0,0,1,1,0,1,3,19,0 to 3
Pirates of the Caribbean: At World's End,>= 120mil,>= 200mil,3 to 6,6.9,0 to 2,1,1,0,0,0,0,0,0,1,0,0,1,6,>=4
Spider-Man 3,>= 120mil,>= 200mil,3 to 6,5.9,0 to 2,1,1,0,0,0,0,0,1,0,0,0,1,8,0 to 3
Tangled,>= 120mil,>= 200mil,1 to 3,7.4,0 to 2,0,0,1,0,0,1,0,1,1,0,0,2,14,0 to 3
Harry Potter and the Half-Blood Prince,>= 120mil,>= 200mil,3 to 6,7.4,0 to 2,0,1,0,0,0,1,0,0,1,0,0,1,6,0 to 3
Superman Returns,>= 120mil,>= 200mil,1 to 3,5.4,0 to 2,1,1,1,0,0,0,0,0,1,0,1,2,11,0 to 3
Quantum of Solace,>= 120mil,>= 200mil,1 to 3,6.1,0 to 2,1,1,0,1,0,1,0,1,0,1,0,2,13,>=4
Pirates of the Caribbean: Dead Man's Chest,>= 120mil,>= 200mil,3 to 6,7,>=3,1,1,0,0,0,0,0,0,1,0,0,1,6,>=4
The Chronicles of Narnia: Prince Caspian,>= 120mil,>= 200mil,1 to 3,6.3,0 to 2,0,1,0,0,0,1,0,0,1,0,1,2,11,0 to 3
Robin Hood,>= 120mil,>= 200mil,1 to 3,6.2,0 to 2,1,1,0,0,0,0,0,1,0,0,0,1,8,>=4
The Golden Compass,>= 120mil,>= 200mil,1 to 3,5.8,0 to 2,0,1,0,0,0,0,1,1,0,0,1,3,23,0 to 3
King Kong,>= 120mil,>= 200mil,1 to 3,6.6,>=3,1,1,0,0,0,0,1,0,0,0,0,1,10,0 to 3
Titanic,>= 120mil,>= 200mil,>6,7.5,>=3,0,0,0,0,1,1,1,0,1,0,1,3,21,>=4
Spider-Man 2,>= 120mil,>= 200mil,3 to 6,6.7,>=3,1,1,0,0,0,0,0,1,0,0,1,2,13,0 to 3
Alice in Wonderland,>= 120mil,>= 200mil,3 to 6,6.4,>=3,0,1,0,0,0,1,1,0,1,1,0,3,21,>=4
X-Men: The Last Stand,>= 120mil,>= 200mil,1 to 3,6.3,0 to 2,1,1,1,0,0,1,0,1,0,0,1,2,13,>=4
Transformers: Revenge of the Fallen,>= 120mil,>= 200mil,3 to 6,6,0 to 2,1,1,1,0,0,0,0,1,0,0,0,1,8,0 to 3
TRON: Legacy,>= 120mil,>= 200mil,1 to 3,6.3,0 to 2,1,1,1,0,0,0,0,0,1,0,1,2,11,>=4
Toy Story 3,>= 120mil,>= 200mil,3 to 6,7.6,>=3,0,0,1,0,0,1,0,0,0,1,0,1,5,>=4
Terminator Salvation,>= 120mil,>= 200mil,1 to 3,5.9,0 to 2,1,0,1,0,0,1,0,0,0,1,1,2,10,0 to 3
Prince of Persia: The Sands of Time,>= 120mil,>= 200mil,1 to 3,6.2,0 to 2,1,1,0,0,1,0,0,1,0,0,0,1,8,>=4
Indiana Jones and the Kingdom of the Crystal Skull,>= 120mil,>= 200mil,3 to 6,5.7,0 to 2,1,1,0,0,0,0,0,1,0,0,1,2,13,>=4
WALL-E,>= 120mil,>= 200mil,1 to 3,7.8,>=3,0,0,1,0,0,1,0,1,0,0,0,1,8,0 to 3
Rush Hour 3,>= 120mil,>= 200mil,1 to 3,6.1,0 to 2,1,0,0,1,0,1,0,0,1,0,0,1,6,0 to 3
2012,>= 120mil,>= 200mil,3 to 6,5.6,0 to 2,1,1,1,0,0,0,0,1,0,1,0,2,13,0 to 3
A Christmas Carol,>= 120mil,>= 200mil,1 to 3,6.6,0 to 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0 to 3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",>= 120mil,>= 200mil,3 to 6,6.7,>=3,0,1,0,0,0,1,0,1,0,1,0,2,13,0 to 3
The Dark Knight,>= 120mil,>= 200mil,3 to 6,8.2,>=3,1,0,0,1,0,1,0,0,0,0,1,1,5,>=4
Up,>= 120mil,>= 200mil,3 to 6,7.7,>=3,0,1,1,0,0,1,0,0,0,0,0,0,0,0 to 3
Monsters vs Aliens,>= 120mil,>= 200mil,1 to 3,6,0 to 2,0,1,1,0,0,1,0,1,0,0,0,1,8,0 to 3
Iron Man,>= 120mil,>= 200mil,3 to 6,7.4,0 to 2,1,1,1,0,0,0,0,0,0,0,1,1,5,>=4
Wild Wild West,>= 120mil,>= 200mil,1 to 3,5.1,0 to 2,1,1,1,0,0,0,0,0,0,1,0,1,5,>=4
The Mummy: Tomb of the Dragon Emperor,>= 120mil,>= 200mil,1 to 3,5.2,0 to 2,1,1,0,0,0,0,0,0,0,1,0,1,5,0 to 3
Evan Almighty,>= 120mil,120mil to 200mil,<1,5.3,0 to 2,0,1,0,0,0,1,0,1,0,0,0,1,8,0 to 3
Waterworld,>= 120mil,>= 200mil,1 to 3,5.9,0 to 2,1,1,0,0,0,0,0,1,0,0,0,1,8,0 to 3
G.I. Joe: The Rise of Cobra,>= 120mil,>= 200mil,1 to 3,5.6,0 to 2,1,1,1,0,0,1,0,0,0,1,0,1,5,0 to 3
Iron Man 2,>= 120mil,>= 200mil,3 to 6,6.6,0 to 2,1,1,1,0,0,0,0,1,0,1,0,2,13,>=4
Shrek Forever After,>= 120mil,>= 200mil,3 to 6,6,0 to 2,0,1,1,0,0,1,0,0,1,0,1,2,11,>=4
The Polar Express,>= 120mil,>= 200mil,1 to 3,6.4,0 to 2,0,1,1,0,0,1,0,0,1,0,0,1,6,>=4
How to Train Your Dragon,>= 120mil,>= 200mil,1 to 3,7.5,0 to 2,0,1,1,0,0,1,0,0,0,1,0,1,5,0 to 3
Terminator 3: Rise of the Machines,>= 120mil,>= 200mil,1 to 3,5.9,0 to 2,1,0,1,0,0,1,0,0,1,1,0,2,11,0 to 3
Inception,>= 120mil,>= 200mil,3 to 6,8.1,>=3,1,1,1,0,0,1,0,0,1,0,0,1,6,>=4
The Fast and the Furious,35mil to 120mil,>= 200mil,3 to 6,6.6,0 to 2,1,0,0,1,0,1,0,0,1,1,0,2,11,0 to 3
The Curious Case of Benjamin Button,>= 120mil,>= 200mil,1 to 3,7.3,>=3,0,1,0,0,1,1,1,0,1,1,1,4,26,>=4
The Sorcerer's Apprentice,>= 120mil,>= 200mil,1 to 3,5.8,0 to 2,1,1,0,0,0,0,0,0,1,0,1,2,11,0 to 3
Poseidon,>= 120mil,120mil to 200mil,1 to 3,5.5,0 to 2,1,1,0,0,0,1,0,0,1,1,1,3,16,0 to 3
Shrek the Third,>= 120mil,>= 200mil,3 to 6,6,0 to 2,0,1,1,0,0,1,0,0,1,1,0,2,11,>=4
The Chronicles of Narnia: The Voyage of the Dawn Treader,>= 120mil,>= 200mil,1 to 3,6.2,0 to 2,0,1,0,0,0,1,0,1,0,0,0,1,8,0 to 3
Pearl Harbor,>= 120mil,>= 200mil,3 to 6,6.6,>=3,0,0,0,0,1,0,0,0,1,0,0,1,6,>=4
Transformers,>= 120mil,>= 200mil,3 to 6,6.6,>=3,1,1,1,0,0,0,0,0,1,1,0,2,11,0 to 3
Alexander,>= 120mil,120mil to 200mil,1 to 3,5.6,0 to 2,1,1,0,0,1,0,0,1,0,0,0,1,8,0 to 3
Harry Potter and the Order of the Phoenix,>= 120mil,>= 200mil,>6,7.4,0 to 2,0,1,0,0,0,1,0,0,1,0,0,1,6,0 to 3
Harry Potter and the Goblet of Fire,>= 120mil,>= 200mil,3 to 6,7.5,0 to 2,0,1,0,0,0,1,0,0,1,0,0,1,6,0 to 3
Hancock,>= 120mil,>= 200mil,3 to 6,6.2,0 to 2,1,1,0,0,0,0,0,1,0,0,0,1,8,>=4
I Am Legend,>= 120mil,>= 200mil,3 to 6,6.9,0 to 2,1,0,1,0,0,1,0,1,0,1,1,3,18,0 to 3
Charlie and the Chocolate Factory,>= 120mil,>= 200mil,3 to 6,6.7,0 to 2,0,1,0,0,0,1,0,0,0,1,1,2,10,0 to 3
Ratatouille,>= 120mil,>= 200mil,3 to 6,7.5,>=3,0,1,1,0,0,1,0,0,0,0,0,0,0,0 to 3
Batman Begins,>= 120mil,>= 200mil,1 to 3,7.5,0 to 2,1,0,0,1,0,0,0,0,0,1,0,1,5,>=4
Madagascar: Escape 2 Africa,>= 120mil,>= 200mil,3 to 6,6.2,0 to 2,0,0,1,0,0,1,0,1,0,0,0,1,8,0 to 3
Night at the Museum: Battle of the Smithsonian,>= 120mil,>= 200mil,1 to 3,5.9,0 to 2,1,1,0,0,0,1,0,1,0,0,0,1,8,>=4
X-Men Origins: Wolverine,>= 120mil,>= 200mil,1 to 3,6.2,0 to 2,1,1,1,0,0,1,0,0,0,1,0,1,5,0 to 3
The Matrix Revolutions,>= 120mil,>= 200mil,1 to 3,6.4,0 to 2,1,1,1,0,0,1,0,0,1,0,1,2,11,0 to 3
The Matrix Reloaded,>= 120mil,>= 200mil,3 to 6,6.7,0 to 2,1,1,1,0,0,1,0,1,0,0,0,1,8,0 to 3
Angels & Demons,>= 120mil,>= 200mil,1 to 3,6.5,0 to 2,0,0,0,0,0,1,0,0,1,0,0,1,6,>=4
Bolt,>= 120mil,>= 200mil,1 to 3,6.3,0 to 2,0,1,1,0,0,1,0,1,1,0,0,2,14,0 to 3
G-Force,>= 120mil,>= 200mil,1 to 3,5.1,0 to 2,1,1,0,0,0,1,0,1,0,0,0,1,8,0 to 3
Bee Movie,>= 120mil,>= 200mil,1 to 3,5.7,0 to 2,0,1,1,0,0,1,0,1,0,0,0,1,8,0 to 3
The Last Airbender,>= 120mil,>= 200mil,1 to 3,4.7,0 to 2,1,1,0,0,0,1,0,1,0,0,0,1,8,0 to 3
Mission: Impossible III,>= 120mil,>= 200mil,1 to 3,6.5,0 to 2,1,1,0,0,0,1,0,0,0,0,0,0,0,>=4
Flushed Away,>= 120mil,10 to 80 mil,<1,6,0 to 2,0,1,1,0,0,1,0,1,0,0,0,1,8,>=4
Troy,>= 120mil,>= 200mil,1 to 3,6.9,0 to 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0 to 3
Die Another Day,>= 120mil,>= 200mil,3 to 6,5.8,0 to 2,1,1,0,0,0,1,0,1,1,0,0,2,14,0 to 3
Armageddon,>= 120mil,>= 200mil,3 to 6,6.4,>=3,1,1,1,0,0,1,0,0,0,1,0,1,5,0 to 3
Men in Black II,>= 120mil,>= 200mil,3 to 6,6,0 to 2,1,1,1,0,0,0,0,0,0,1,0,1,5,>=4
Beowulf,35mil to 120mil,120mil to 200mil,1 to 3,5.5,0 to 2,1,1,1,0,0,0,0,1,0,1,0,2,13,>=4
Fun with Dick and Jane,35mil to 120mil,>= 200mil,1 to 3,5.9,0 to 2,0,0,0,0,0,0,0,1,0,0,1,2,13,0 to 3
The Last Samurai,>= 120mil,>= 200mil,3 to 6,7.3,>=3,1,0,0,0,0,0,0,0,0,0,1,1,5,>=4
Star Trek,>= 120mil,>= 200mil,1 to 3,7.4,>=3,1,1,1,0,0,0,0,0,0,0,0,0,0,0 to 3
Spider-Man,>= 120mil,>= 200mil,3 to 6,6.8,0 to 2,1,1,0,0,0,0,0,0,1,0,1,2,11,>=4
Stealth,>= 120mil,10 to 80 mil,<1,4.9,0 to 2,1,0,0,0,0,0,1,1,0,0,0,2,18,0 to 3
Watchmen,>= 120mil,120mil to 200mil,1 to 3,7,0 to 2,1,0,1,0,0,0,1,0,1,0,0,2,16,0 to 3
Lethal Weapon 4,>= 120mil,>= 200mil,1 to 3,6.3,0 to 2,1,1,0,1,0,1,0,0,0,1,0,1,5,0 to 3
Hulk,>= 120mil,>= 200mil,1 to 3,5.3,0 to 2,1,0,1,0,0,0,0,1,0,1,0,2,13,>=4
Sahara,>= 120mil,120mil to 200mil,<1,5.7,>=3,1,1,0,0,0,0,0,1,0,0,0,1,8,>=4
Final Fantasy: The Spirits Within,>= 120mil,120mil to 200mil,<1,5.9,0 to 2,1,1,1,0,0,1,0,1,0,0,0,1,8,0 to 3
The World Is Not Enough,>= 120mil,>= 200mil,1 to 3,6,0 to 2,1,1,0,0,0,1,0,1,0,1,0,2,13,0 to 3
Master and Commander: The Far Side of the World,>= 120mil,>= 200mil,1 to 3,6.9,>=3,0,1,0,0,0,0,0,0,0,0,0,0,0,0 to 3
The Incredible Hulk,>= 120mil,120mil to 200mil,1 to 3,6.1,0 to 2,1,1,1,0,0,0,0,1,0,0,0,1,8,>=4
The Bourne Ultimatum,35mil to 120mil,>= 200mil,>6,7.3,>=3,1,0,0,0,0,1,0,1,0,0,0,1,8,>=4
Kung Fu Panda,>= 120mil,>= 200mil,3 to 6,6.9,0 to 2,0,1,1,0,0,1,0,0,1,0,1,2,11,>=4
War of the Worlds,>= 120mil,>= 200mil,3 to 6,6.2,>=3,0,1,1,0,0,1,0,1,1,0,0,2,14,>=4
Bad Boys II,>= 120mil,>= 200mil,1 to 3,6.3,0 to 2,1,1,0,1,0,1,0,0,0,1,0,1,5,0 to 3
Salt,35mil to 120mil,>= 200mil,1 to 3,6.2,0 to 2,1,0,0,0,0,1,1,0,0,0,1,2,15,0 to 3
Harry Potter and the Prisoner of Azkaban,>= 120mil,>= 200mil,>6,7.7,0 to 2,0,1,0,0,0,1,0,0,1,0,0,1,6,0 to 3
Australia,>= 120mil,10 to 80 mil,<1,6.3,0 to 2,0,0,0,0,0,0,1,0,1,0,0,2,16,>=4
Dinosaur,>= 120mil,>= 200mil,1 to 3,6.2,0 to 2,0,0,1,0,0,1,0,1,0,0,1,2,13,0 to 3
Megamind,>= 120mil,>= 200mil,1 to 3,6.7,0 to 2,1,0,1,0,0,1,0,0,1,0,0,1,6,>=4
Harry Potter and the Philosopher's Stone,>= 120mil,>= 200mil,>6,7.5,0 to 2,0,1,0,0,0,1,0,0,1,0,0,1,6,0 to 3
Pirates of the Caribbean: The Curse of the Black Pearl,>= 120mil,>= 200mil,3 to 6,7.5,>=3,1,1,0,0,0,0,0,0,0,1,0,1,5,>=4
The Da Vinci Code,>= 120mil,>= 200mil,>6,6.5,0 to 2,0,0,0,0,0,1,0,1,0,0,0,1,8,>=4
X2,35mil to 120mil,>= 200mil,3 to 6,6.8,0 to 2,1,1,1,0,0,1,0,0,0,1,1,2,10,>=4
Clash of the Titans,>= 120mil,>= 200mil,1 to 3,5.6,0 to 2,1,1,0,0,0,0,0,0,0,1,0,1,5,0 to 3
Total Recall,35mil to 120mil,>= 200mil,3 to 6,7.1,>=3,1,1,1,0,0,0,0,1,1,0,0,2,14,0 to 3
The 13th Warrior,>= 120mil,10 to 80 mil,<1,6.4,0 to 2,1,1,0,0,0,0,0,1,1,0,0,2,14,0 to 3
Batman & Robin,>= 120mil,>= 200mil,1 to 3,4.2,0 to 2,1,1,0,1,0,0,0,0,0,1,1,2,10,>=4
How the Grinch Stole Christmas,>= 120mil,>= 200mil,1 to 3,6.2,0 to 2,0,1,0,0,0,1,0,1,0,1,0,2,13,0 to 3
The Day After Tomorrow,>= 120mil,>= 200mil,3 to 6,6.2,0 to 2,1,1,1,0,0,1,0,0,1,0,0,1,6,0 to 3
Mission: Impossible II,>= 120mil,>= 200mil,3 to 6,5.9,0 to 2,1,1,0,0,0,1,0,0,1,0,0,1,6,0 to 3
The Perfect Storm,35mil to 120mil,>= 200mil,1 to 3,6.2,0 to 2,0,0,0,0,0,0,0,0,1,0,0,1,6,>=4
4: Rise of the Silver Surfer,>= 120mil,>= 200mil,1 to 3,5.4,0 to 2,1,1,0,0,0,1,0,1,0,0,0,1,8,0 to 3
Ghost Rider,35mil to 120mil,>= 200mil,1 to 3,5.2,0 to 2,1,1,0,0,0,1,0,1,0,0,0,1,8,0 to 3
Charlie's Angels: Full Throttle,35mil to 120mil,>= 200mil,1 to 3,5.2,0 to 2,1,1,0,0,0,0,1,1,1,0,0,3,24,0 to 3
Stuart Little 2,35mil to 120mil,120mil to 200mil,1 to 3,5.4,0 to 2,0,1,1,0,0,1,0,1,0,0,1,2,13,0 to 3
The Chronicles of Riddick,35mil to 120mil,120mil to 200mil,1 to 3,6.3,0 to 2,1,0,1,0,0,0,0,1,0,0,0,1,8,0 to 3
Speed Racer,35mil to 120mil,120mil to 200mil,<1,5.7,0 to 2,1,0,1,0,0,1,0,1,0,1,0,2,13,>=4
How Do You Know,35mil to 120mil,10 to 80 mil,<1,4.9,0 to 2,0,0,0,0,1,0,1,0,0,0,1,2,15,>=4
Knight and Day,35mil to 120mil,>= 200mil,1 to 3,5.9,0 to 2,1,0,0,0,0,0,0,1,0,1,0,2,13,>=4
Star Wars: Episode III - Revenge of the Sith,35mil to 120mil,>= 200mil,>6,7.1,0 to 2,1,1,1,0,0,0,0,1,0,0,0,1,8,0 to 3
Star Wars: Episode II - Attack of the Clones,35mil to 120mil,>= 200mil,3 to 6,6.4,0 to 2,1,1,1,0,0,0,0,1,0,0,0,1,8,0 to 3
"Monsters, Inc.",35mil to 120mil,>= 200mil,3 to 6,7.5,>=3,0,0,1,0,0,1,0,0,1,0,0,1,6,0 to 3
Star Wars: Episode I - The Phantom Menace,35mil to 120mil,>= 200mil,>6,6.3,0 to 2,1,1,1,0,0,0,0,0,1,0,0,1,6,0 to 3
Windtalkers,35mil to 120mil,10 to 80 mil,<1,5.8,0 to 2,1,0,0,0,0,0,0,0,0,0,0,0,0,>=4
