,Actor,Nominations,Wins,Sum
0,Abigail Breslin,1,0,1.0
1,Adolph Caesar,1,0,1.0
2,Adolphe Menjou,1,0,1.0
3,Adriana Barraza,1,0,1.0
4,Agnes Moorehead,4,0,4.0
5,Akim Tamiroff,2,0,2.0
6,Al Pacino,6,0,6.0
7,Alan Alda,1,0,1.0
8,Alan Arkin,3,1,5.0
9,Alan Bates,1,0,1.0
10,Albert Basserman,1,0,1.0
11,Albert Brooks,1,0,1.0
12,Albert Finney,3,0,3.0
13,Alec Baldwin,1,0,1.0
14,Alec Guinness,3,1,5.0
15,Alexander Knox,1,0,1.0
16,Alfre Woodard,1,0,1.0
17,Alfred Lunt,1,0,1.0
18,Ali MacGraw,1,0,1.0
19,Alice Brady,1,1,3.0
20,Alicia Vikander,0,1,2.0
21,Aline MacMahon,1,0,1.0
22,Amy Adams,4,0,4.0
23,Amy Irving,1,0,1.0
24,Amy Madigan,1,0,1.0
25,Amy Ryan,1,0,1.0
26,Andrea Leeds,1,0,1.0
27,Andy Garcia,1,0,1.0
28,Angela Lansbury,3,0,3.0
29,Angelina Jolie,0,1,2.0
30,Anjelica Huston,1,1,3.0
31,Ann Blyth,1,0,1.0
32,Ann Harding,1,0,1.0
33,Ann Sothern,1,0,1.0
34,Ann-Margret,2,0,2.0
35,Anna Kendrick,1,0,1.0
36,Anna Magnani,1,1,3.0
37,Anna Paquin,0,1,2.0
38,Anne Archer,1,0,1.0
39,Anne Bancroft,2,1,4.0
40,Anne Baxter,1,1,3.0
41,Anne Hathaway,0,1,2.0
42,Anne Ramsey,1,0,1.0
43,Anne Revere,2,1,4.0
44,Anne Shirley,1,0,1.0
45,Annette Bening,1,0,1.0
46,Anouk Aimee,1,0,1.0
47,Anthony Franciosa,1,0,1.0
48,Anthony Hopkins,1,0,1.0
49,Anthony Perkins,1,0,1.0
50,Anthony Quayle,1,0,1.0
51,Anthony Quinn,2,2,6.0
52,Armin Mueller-Stahl,1,0,1.0
53,Art Carney,0,1,2.0
54,Arthur Hunnicutt,1,0,1.0
55,Arthur Kennedy,5,0,5.0
56,Arthur O'Connell,2,0,2.0
57,Audrey Hepburn,4,1,6.0
58,Ava Gardner,1,0,1.0
59,Barbara Barrie,1,0,1.0
60,Barbara Bel Geddes,1,0,1.0
61,Barbara Harris,1,0,1.0
62,Barbara Hershey,1,0,1.0
63,Barbara O'Neil,1,0,1.0
64,Barbara Stanwyck,4,0,4.0
65,Barbra Streisand,1,1,3.0
66,Barkhad Abdi,1,0,1.0
67,Barry Fitzgerald,1,1,3.0
68,Basil Rathbone,2,0,2.0
69,Beah Richards,1,0,1.0
70,Beatrice Straight,0,1,2.0
71,Ben Johnson,0,1,2.0
72,Ben Kingsley,2,0,2.0
73,Benicio Del Toro,1,1,3.0
74,Bessie Love,1,0,1.0
75,Betsy Blair,1,0,1.0
76,Bette Davis,9,2,13.0
77,Betty Compson,1,0,1.0
78,Beulah Bondi,2,0,2.0
79,Billie Burke,1,0,1.0
80,Billy Bob Thornton,1,0,1.0
81,Bing Crosby,2,1,4.0
82,Bobby Darin,1,0,1.0
83,Bonita Granville,1,0,1.0
84,Brad Dourif,1,0,1.0
85,Brad Pitt,1,0,1.0
86,Bradley Cooper,1,0,1.0
87,Brandon De Wilde,1,0,1.0
88,Brenda Blethyn,1,0,1.0
89,Brenda Fricker,0,1,2.0
90,Brenda Vaccaro,1,0,1.0
91,Brian Aherne,1,0,1.0
92,Brian Donlevy,1,0,1.0
93,Broderick Crawford,0,1,2.0
94,Bruce Davison,1,0,1.0
95,Bruce Dern,1,0,1.0
96,Burgess Meredith,2,0,2.0
97,Burl Ives,0,1,2.0
98,Burt Lancaster,2,1,4.0
99,Burt Reynolds,1,0,1.0
100,Burt Young,1,0,1.0
101,Bérénice Bejo,1,0,1.0
102,Candice Bergen,1,0,1.0
103,Candy Clark,1,0,1.0
104,Cara Williams,1,0,1.0
105,Carol Channing,1,0,1.0
106,Carol Kane,1,0,1.0
107,Carole Lombard,1,0,1.0
108,Carolyn Jones,1,0,1.0
109,Carrie Snodgress,1,0,1.0
110,Carroll Baker,1,0,1.0
111,Cary Grant,2,0,2.0
112,Casey Affleck,1,0,1.0
113,Cate Blanchett,2,1,4.0
114,Catherine Burns,1,0,1.0
115,Catherine Keener,2,0,2.0
116,Catherine Zeta-Jones,0,1,2.0
117,Cathy Moriarty,1,0,1.0
118,Cecil Kellaway,2,0,2.0
119,Celeste Holm,2,1,4.0
120,Celia Johnson,1,0,1.0
121,Charles Bickford,3,0,3.0
122,Charles Boyer,4,0,4.0
123,Charles Chaplin,1,0,1.0
124,Charles Coburn,2,1,4.0
125,Charles Durning,2,0,2.0
126,Charles Laughton,2,1,4.0
127,Charlton Heston,0,1,2.0
128,Chazz Palminteri,1,0,1.0
129,Cher,1,0,1.0
130,Chester Morris,1,0,1.0
131,Chief Dan George,1,0,1.0
132,Chill Wills,1,0,1.0
133,Chloë Sevigny,1,0,1.0
134,Chris Cooper,0,1,2.0
135,Chris Sarandon,1,0,1.0
136,Christian Bale,1,1,3.0
137,Christine Lahti,1,0,1.0
138,Christoph Waltz,0,2,4.0
139,Christopher Plummer,1,1,3.0
140,Christopher Walken,1,1,3.0
141,Cicely Tyson,1,0,1.0
142,Claire Trevor,2,1,4.0
143,Clark Gable,2,1,4.0
144,Claude Rains,4,0,4.0
145,Claudette Colbert,2,1,4.0
146,Cliff Robertson,0,1,2.0
147,Clifton Webb,3,0,3.0
148,Clive Owen,1,0,1.0
149,Cloris Leachman,0,1,2.0
150,Colette Marchand,1,0,1.0
151,Corinne Griffith,1,0,1.0
152,Cornel Wilde,1,0,1.0
153,"Cuba Gooding, Jr.",0,1,2.0
154,Dame Edith Evans,3,0,3.0
155,Dame May Whitty,2,0,2.0
156,Dan Aykroyd,1,0,1.0
157,Dan Dailey,1,0,1.0
158,Dan O'Herlihy,1,0,1.0
159,Daniel Massey,1,0,1.0
160,Danny Aiello,1,0,1.0
161,David Niven,0,1,2.0
162,David Paymer,1,0,1.0
163,Dean Jagger,0,1,2.0
164,Dean Stockwell,1,0,1.0
165,Debbie Reynolds,1,0,1.0
166,Deborah Kerr,6,0,6.0
167,Denholm Elliott,1,0,1.0
168,Dennis Hopper,1,0,1.0
169,Denzel Washington,1,1,3.0
170,Diahann Carroll,1,0,1.0
171,Diana Ross,1,0,1.0
172,Diana Scarwid,1,0,1.0
173,Diana Wynyard,1,0,1.0
174,Diane Cilento,1,0,1.0
175,Diane Ladd,3,0,3.0
176,Diane Varsi,1,0,1.0
177,Dianne Wiest,1,2,5.0
178,Djimon Hounsou,2,0,2.0
179,Don Ameche,0,1,2.0
180,Don Murray,1,0,1.0
181,Donald Crisp,0,1,2.0
182,Donna Reed,0,1,2.0
183,Doris Day,1,0,1.0
184,Dorothy Dandridge,1,0,1.0
185,Dorothy Malone,0,1,2.0
186,Dorothy McGuire,1,0,1.0
187,Dustin Hoffman,3,0,3.0
188,Dyan Cannon,2,0,2.0
189,Ed Begley,0,1,2.0
190,Ed Harris,3,0,3.0
191,Ed Wynn,1,0,1.0
192,Eddie Albert,2,0,2.0
193,Eddie Murphy,1,0,1.0
194,Edmond O'Brien,1,1,3.0
195,Edmund Gwenn,1,1,3.0
196,Edna May Oliver,1,0,1.0
197,Edward Norton,2,0,2.0
198,Eileen Brennan,1,0,1.0
199,Eileen Heckart,1,1,3.0
200,Eleanor Parker,3,0,3.0
201,Elisabeth Bergner,1,0,1.0
202,Elizabeth Hartman,1,0,1.0
203,Elizabeth McGovern,1,0,1.0
204,Elizabeth Taylor,3,2,7.0
205,Ellen Burstyn,2,1,4.0
206,Ellen Corby,1,0,1.0
207,Elliott Gould,1,0,1.0
208,Elsa Lanchester,2,0,2.0
209,Emil Jannings,0,1,2.0
210,Emma Stone,1,0,1.0
211,Emma Thompson,1,0,1.0
212,Eric Roberts,1,0,1.0
213,Erich von Stroheim,1,0,1.0
214,Ernest Borgnine,0,1,2.0
215,Estelle Parsons,1,1,3.0
216,Ethan Hawke,2,0,2.0
217,Ethel Barrymore,3,1,5.0
218,Ethel Waters,1,0,1.0
219,Eva Le Gallienne,1,0,1.0
220,Eva Marie Saint,0,1,2.0
221,Eve Arden,1,0,1.0
222,Fay Bainter,2,1,4.0
223,Faye Dunaway,2,0,2.0
224,Flora Robson,1,0,1.0
225,Frances McDormand,3,0,3.0
226,Franchot Tone,1,0,1.0
227,Frank Finlay,1,0,1.0
228,Frank Morgan,2,0,2.0
229,Frank Sinatra,1,1,3.0
230,Fred Astaire,1,0,1.0
231,Frederic Forrest,1,0,1.0
232,Fredric March,3,2,7.0
233,Gale Sondergaard,1,1,3.0
234,Gary Cooper,3,2,7.0
235,Gary Sinise,1,0,1.0
236,Geena Davis,0,1,2.0
237,Gena Rowlands,1,0,1.0
238,Gene Hackman,2,2,6.0
239,Gene Kelly,1,0,1.0
240,Gene Lockhart,1,0,1.0
241,Gene Tierney,1,0,1.0
242,Gene Wilder,1,0,1.0
243,Genevieve Bujold,1,0,1.0
244,Geoffrey Rush,2,0,2.0
245,George Arliss,1,1,3.0
246,George Bancroft,1,0,1.0
247,George Burns,0,1,2.0
248,George C. Scott,3,1,5.0
249,George Chakiris,0,1,2.0
250,George Clooney,0,1,2.0
251,George Kennedy,0,1,2.0
252,George Sanders,0,1,2.0
253,George Segal,1,0,1.0
254,Geraldine Fitzgerald,1,0,1.0
255,Geraldine Page,6,0,6.0
